FSCSKEY,district_geoid,weight
NY0781,3618120,1.0
NY0786,3617760,1.0
NY0791,3610680,1.0
NY0796,3616710,1.0
NY0799,3603240,1.0
NY9003,3624270,1.0
NY9013,3611730,1.0
NY9014,3610950,1.0
NY9015,3600023,1.0
NY9016,3613980,1.0
OH0001,3904518,1.0
OH0003,3904803,1.0
OH0004,3904752,1.0
OH0005,3904349,1.0
OH0006,3904519,1.0
OH0007,3904588,1.0
OH0008,3904663,1.0
OH0009,3904704,1.0
OH0010,3904350,1.0
OH0011,3904675,1.0
OH0014,3904968,1.0
OH0015,3904812,1.0
OH0016,3904353,1.0
OH0017,3904520,1.0
OH0019,3904357,1.0
OH0020,3904807,1.0
OH0022,3904359,1.0
OH0024,3904362,1.0
OH0025,3904638,1.0
OH0026,3904650,1.0
OH0027,3904521,1.0
OH0028,3904754,1.0
OH0030,3904522,1.0
OH0034,3904716,1.0
OH0035,3904524,1.0
OH0036,3904525,1.0
OH0038,3904990,1.0
OH0040,3904879,1.0
OH0041,3904526,1.0
OH0044,3904782,1.0
OH0045,3904373,1.0
OH0047,3904880,1.0
OH0051,3904378,1.0
OH0052,3904463,1.0
OH0053,3904379,1.0
OH0054,3910020,1.0
OH0055,3904531,1.0
OH0056,3904532,1.0
OH0058,3904381,1.0
OH0060,3904533,1.0
OH0061,3910008,1.0
OH0066,3904388,1.0
OH0067,3904708,1.0
OH0068,3904377,1.0
OH0069,3904759,1.0
OH0070,3904389,1.0
OH0071,3904749,1.0
OH0072,3904390,1.0
OH0077,3904394,1.0
OH0078,3904395,1.0
OH0079,3904536,1.0
OH0080,3904706,1.0
OH0082,3904751,1.0
OH0083,3904859,1.0
OH0091,3904874,1.0
OH0092,3904406,1.0
OH0093,3905028,1.0
OH0094,3904817,1.0
OH0095,3904407,1.0
OH0096,3904539,1.0
OH0098,3904409,1.0
OH0099,3904480,1.0
OH0102,3904757,1.0
OH0104,3904542,1.0
OH0105,3905002,1.0
OH0106,3904413,1.0
OH0108,3904502,1.0
OH0110,3904416,1.0
OH0111,3910025,1.0
OH0112,3904585,1.0
OH0113,3905017,1.0
OH0114,3904787,1.0
OH0115,3904419,1.0
OH0118,3910007,1.0
OH0120,3904758,1.0
OH0124,3904425,1.0
OH0126,3904546,1.0
OH0127,3904987,1.0
OH0128,3904788,1.0
OH0134,3904547,1.0
OH0136,3904435,1.0
OH0138,3904745,1.0
OH0140,3904548,1.0
OH0142,3904549,1.0
OH0143,3904705,1.0
OH0144,3904440,1.0
OH0145,3904678,1.0
OH0147,3904989,1.0
OH0148,3904771,1.0
OH0149,3904552,1.0
OH0151,3904553,1.0
OH0152,3904827,1.0
OH0154,3904750,1.0
OH0155,3904443,1.0
OH0159,3904772,1.0
OH0160,3904668,1.0
OH0164,3904554,1.0
OH0165,3904556,1.0
OH0166,3904449,1.0
OH0167,3905070,1.0
OH0168,3904450,1.0
OH0169,3904456,1.0
OH0170,3904892,1.0
OH0171,3904776,1.0
OH0172,3904458,1.0
OH0174,3904461,1.0
OH0175,3904586,1.0
OH0178,3904804,1.0
OH0180,3905067,1.0
OH0182,3904790,1.0
OH0184,3904689,1.0
OH0185,3904464,1.0
OH0186,3904826,1.0
OH0188,3904465,1.0
OH0190,3904468,1.0
OH0191,3905033,1.0
OH0193,3904587,1.0
OH0194,3904857,1.0
OH0195,3904470,1.0
OH0196,3904560,1.0
OH0197,3904640,1.0
OH0198,3910006,1.0
OH0200,3904475,1.0
OH0201,3904881,1.0
OH0202,3910009,1.0
OH0205,3904599,1.0
OH0206,3904472,1.0
OH0207,3904619,1.0
OH0209,3904483,1.0
OH0210,3904674,1.0
OH0211,3904709,1.0
OH0212,3905074,1.0
OH0214,3904561,1.0
OH0217,3905007,1.0
OH0219,3910024,1.0
OH0222,3904682,1.0
OH0223,3904563,1.0
OH0224,3910029,1.0
OH0228,3904564,1.0
OH0230,3905068,1.0
OH0232,3904565,1.0
OH0233,3904502,1.0
OH0234,3904503,1.0
OH0235,3904825,1.0
OH0236,3904551,1.0
OH0237,3904504,1.0
OH0238,3904506,1.0
OH0239,3905072,1.0
OH0240,3904508,1.0
OH0242,3904510,1.0
OH0246,3904513,1.0
OR0123,4104410,1.0
OR0130,4112540,1.0
PA0001,4204080,1.0
PA0002,4206660,1.0
PA0008,4203360,1.0
PA0009,4204710,1.0
PA0010,4204890,1.0
PA0011,4205640,1.0
PA0015,4205730,1.0
PA0017,4209960,1.0
PA0020,4202760,1.0
PA0028,4206810,1.0
PA0035,4210620,1.0
PA0039,4220430,1.0
PA0040,4210070,1.0
PA0043,4202850,1.0
PA0047,4202190,1.0
PA0053,4219860,1.0
PA0058,4214790,1.0
PA0065,4211160,1.0
PA0066,4211220,1.0
PA0067,4215120,1.0
PA0074,4223490,1.0
PA0080,4217160,1.0
PA0081,4224090,1.0
PA0089,4202310,1.0
PA0090,4212720,1.0
PA0091,4220130,1.0
PA0095,4204260,1.0
PA0096,4204320,1.0
PA0106,4217940,1.0
PA0116,4222410,1.0
PA0124,4203300,1.0
PA0141,4220250,1.0
PA0145,4215150,1.0
PA0151,4220310,1.0
PA0153,4204020,1.0
PA0157,4221690,1.0
PA0162,4218210,1.0
PA0166,4222770,1.0
PA0167,4206150,1.0
PA0179,4217760,1.0
PA0190,4209120,1.0
PA0191,4209270,1.0
PA0193,4224960,1.0
PA0196,4202490,1.0
PA0199,4218390,1.0
PA0202,4207290,1.0
PA0204,4211340,1.0
PA0209,4216200,1.0
PA0220,4221570,1.0
PA0226,4203840,1.0
PA0231,4215990,1.0
PA0234,4221240,1.0
PA0241,4204920,1.0
PA0245,4223550,1.0
PA0253,4216230,1.0
PA0259,4225170,1.0
