GEOID,lat,lon
3027790,48.5291904,-114.563902
3000097,48.6327884,-110.3818149
3004500,48.3983114,-110.0615194
3008340,47.1327538,-104.8467453
3022410,47.5345039,-104.9448199
3013400,48.33721,-108.8466528
3006270,48.5315842,-109.238565
3026670,48.8620226,-108.4765298
3025050,46.5080544,-114.046252
3003900,45.6773875,-108.4568917
3010170,47.6119949,-112.0469363
3021540,47.7362803,-111.6870077
3024180,45.1527734,-112.080163
3015120,46.2737978,-112.1326505
3027840,45.8964021,-112.0216047
3005040,48.1671541,-104.799841
3026100,47.6626474,-115.2731476
3005610,45.5168247,-104.5153243
3025560,45.8179799,-109.9435792
3007140,48.322266,-113.7534147
3028620,48.3168109,-105.6286771
3015260,45.522024,-108.9914559
3022110,45.203826,-109.4236049
3018270,46.6206585,-107.848258
3002450,47.4692663,-112.617295
3013830,46.8755873,-112.1447167
3006810,47.6296277,-105.757222
3010290,47.9832155,-104.4472277
3010530,47.0950756,-109.4122274
3019500,47.9967643,-115.785352
3011850,45.1044336,-110.5190419
3002250,47.1585519,-113.9521918
3006115,47.3502752,-114.3102807
3021090,47.7872415,-114.2322605
3022800,47.540166,-114.1131864
3307230,42.9375482,-70.8509896
3300017,42.97878,-70.97968
3302670,43.7210227,-72.1852072
3305830,44.1770455,-71.6187325
3399965,43.8328337,-71.6967335
3300003,43.1173122,-71.7690988
3303850,42.7425107,-71.6168053
3306260,42.8839811,-71.6331721
3300049,43.4423247,-71.2573646
3408490,39.8514669,-74.6934124
3411700,40.0727906,-74.6819699
3413620,39.9861035,-74.8054831
3407140,41.2044313,-74.6602172
3408060,41.1237725,-74.8349458
3416870,41.1247512,-74.558783
3417460,40.8824571,-74.315498
3406660,40.8079292,-74.4040852
3408500,40.943154,-74.7182428
3410740,40.9446222,-74.5008756
3417550,40.784792,-74.71463
3404380,39.8327374,-74.9524539
3417220,40.6500528,-74.4958145
3402910,39.9129062,-74.1930952
3413000,39.6341855,-74.3769674
3415480,39.6863766,-74.2452693
3401770,39.8072536,-75.0478281
3402880,39.8519905,-75.0357653
3412510,41.006996,-74.0132534
3412600,40.9550214,-74.1836918
3412570,40.8919453,-74.2146115
3406060,39.5189677,-74.6193739
3409360,39.3410621,-74.5815343
3408190,41.082156,-74.2789882
3403620,39.429428,-75.2687618
3415450,39.6111027,-75.0487711
3407980,39.7405783,-75.2761734
3405820,39.7935306,-75.1457357
3411760,40.987967,-73.9680309
